Tree Decompositions,Times
Features_tree80-2.ml.csv,22.493
Features_tree79-9.ml.csv,5.248
Features_tree16-8.ml.csv,2.204
Features_tree67-4.ml.csv,12.503
Features_tree21-1.ml.csv,7.786
Features_tree77-6.ml.csv,1.534
Features_tree27-9.ml.csv,6.03
Features_tree53-6.ml.csv,4.935
Features_tree66-6.ml.csv,1.086
Features_tree72-6.ml.csv,4.118
Features_tree11-3.ml.csv,10.669
Features_tree16-5.ml.csv,2.178
Features_tree22-4.ml.csv,2.503
Features_tree41-5.ml.csv,1.344
Features_tree43-7.ml.csv,1.338
Features_tree68-7.ml.csv,11.709
Features_tree62-7.ml.csv,3.26
Features_tree18-8.ml.csv,7.147
Features_tree60-7.ml.csv,3.156
Features_tree18-7.ml.csv,8.567
Features_tree51-10.ml.csv,5.138
Features_tree20-1.ml.csv,14.417
Features_tree79-6.ml.csv,6.176
Features_tree49-2.ml.csv,6.739
Features_tree47-5.ml.csv,7.116
Features_tree76-4.ml.csv,4.402
Features_tree48-9.ml.csv,7.182
Features_tree26-9.ml.csv,8.819
Features_tree54-10.ml.csv,6.997
Features_tree77-7.ml.csv,1.455
Features_tree48-5.ml.csv,7.0
Features_tree52-9.ml.csv,0.683
Features_tree45-5.ml.csv,5.098
Features_tree74-3.ml.csv,1.027
Features_tree52-4.ml.csv,0.816
Features_tree78-8.ml.csv,7.847
Features_tree26-8.ml.csv,6.79
Features_tree71-2.ml.csv,27.793
Features_tree67-1.ml.csv,12.012
Features_tree15-4.ml.csv,3.068
Features_tree49-10.ml.csv,5.45
Features_tree63-4.ml.csv,2.239
Features_tree12-8.ml.csv,5.221
Features_tree24-9.ml.csv,23.574
Features_tree69-8.ml.csv,24.399
Features_tree30-3.ml.csv,4.98
Features_tree60-5.ml.csv,3.287
Features_tree69-2.ml.csv,20.834
Features_tree42-8.ml.csv,1.351
Features_tree30-4.ml.csv,3.882
Features_tree65-7.ml.csv,2.337
Features_tree46-4.ml.csv,14.433
Features_tree45-4.ml.csv,7.168
Features_tree63-6.ml.csv,2.839
Features_tree64-7.ml.csv,0.97
Features_tree25-5.ml.csv,1.196
Features_tree30-1.ml.csv,5.334
Features_tree73-6.ml.csv,1.088
Features_tree75-6.ml.csv,1.533
Features_tree14-6.ml.csv,2.999
Features_tree75-2.ml.csv,1.339
Features_tree67-2.ml.csv,12.301
Features_tree19-5.ml.csv,4.384
Features_tree49-8.ml.csv,6.308
Features_tree28-7.ml.csv,6.317
Features_tree28-10.ml.csv,7.228
Features_tree64-6.ml.csv,1.575
Features_tree56-5.ml.csv,5.488
Features_tree19-1.ml.csv,3.823
Features_tree11-9.ml.csv,9.234
Features_tree75-5.ml.csv,1.494
Features_tree17-2.ml.csv,2.876
Features_tree10-2.ml.csv,1.975
Features_tree16-6.ml.csv,2.473
Features_tree79-1.ml.csv,6.354
Features_tree64-5.ml.csv,1.132
Features_tree71-1.ml.csv,22.091
Features_tree21-2.ml.csv,9.262
Features_tree19-4.ml.csv,4.63
Features_tree20-6.ml.csv,17.97
Features_tree66-7.ml.csv,0.865
Features_tree22-8.ml.csv,2.905
Features_tree10-9.ml.csv,2.421
Features_tree53-4.ml.csv,4.606
Features_tree12-6.ml.csv,5.494
Features_tree10-4.ml.csv,1.978
Features_tree21-10.ml.csv,10.45
Features_tree27-4.ml.csv,5.924
Features_tree44-2.ml.csv,7.151
